ANO;MES;CATEGORIA AREA;CATEGORIA DEMANDA;TARIFA;CATEGORIA TARIFA;DEMANDA [MWh]
2012;1/1/2012;Cordoba;Distribuidor;Alumbrado Publico;Residencial;24181,10
2012;1/1/2012;Cordoba;Distribuidor;GRANDES USUARIOS C DEM MAYOR O IGUAL 300KW;Industrial/Comercial Grande;106995,70
2012;1/1/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MAYOR O IGUAL 4000 KWH/BIM;Comercial;29207,40
2012;1/1/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MENOR 4000 KWH BIM;Comercial;73474,50
2012;1/1/2012;Cordoba;Distribuidor;RES. MAYOR 1000 Y MENOR O IGUAL 1400 KWH BIM;Residencial;24785,90
2012;1/1/2012;Cordoba;Distribuidor;RES. MAYOR 1400 Y MENOR O IGUAL 2800 KWH BIM;Residencial;19292,20
2012;1/1/2012;Cordoba;Distribuidor;RES. MAYOR 2800 KWH BIM;Residencial;5990,40
2012;1/1/2012;Cordoba;Distribuidor;RES. MENOR O IGUAL 1000 KWH BIM;Residencial;286465,20
2012;1/1/2012;Cordoba;Distribuidor;SANCIONADO DEM.MAYOR O IGUAL 10 Y MENOR300 KW;Industrial/Comercial Grande;154663,20
2012;1/1/2012;Gran Usuario MEM;Gran Usuario;GUMES/GUPAS;Industrial/Comercial Grande;32013,10
2012;1/2/2012;Cordoba;Distribuidor;Alumbrado Publico;Residencial;25521,30
2012;1/2/2012;Cordoba;Distribuidor;GRANDES USUARIOS C DEM MAYOR O IGUAL 300KW;Industrial/Comercial Grande;108039,20
2012;1/2/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MAYOR O IGUAL 4000 KWH/BIM;Comercial;31791,60
2012;1/2/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MENOR 4000 KWH BIM;Comercial;71299,60
2012;1/2/2012;Cordoba;Distribuidor;RES. MAYOR 1000 Y MENOR O IGUAL 1400 KWH BIM;Residencial;23218,20
2012;1/2/2012;Cordoba;Distribuidor;RES. MAYOR 1400 Y MENOR O IGUAL 2800 KWH BIM;Residencial;19427,50
2012;1/2/2012;Cordoba;Distribuidor;RES. MAYOR 2800 KWH BIM;Residencial;6464,10
2012;1/2/2012;Cordoba;Distribuidor;RES. MENOR O IGUAL 1000 KWH BIM;Residencial;237280,50
2012;1/2/2012;Cordoba;Distribuidor;SANCIONADO DEM.MAYOR O IGUAL 10 Y MENOR300 KW;Industrial/Comercial Grande;139717,90
2012;1/2/2012;Gran Usuario MEM;Gran Usuario;GUMES/GUPAS;Industrial/Comercial Grande;30950,50
2012;1/3/2012;Cordoba;Distribuidor;Alumbrado Publico;Residencial;26262,10
2012;1/3/2012;Cordoba;Distribuidor;GRANDES USUARIOS C DEM MAYOR O IGUAL 300KW;Industrial/Comercial Grande;118472,30
2012;1/3/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MAYOR O IGUAL 4000 KWH/BIM;Comercial;28854,00
2012;1/3/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MENOR 4000 KWH BIM;Comercial;71735,30
2012;1/3/2012;Cordoba;Distribuidor;RES. MAYOR 1000 Y MENOR O IGUAL 1400 KWH BIM;Residencial;21129,60
2012;1/3/2012;Cordoba;Distribuidor;RES. MAYOR 1400 Y MENOR O IGUAL 2800 KWH BIM;Residencial;16188,40
2012;1/3/2012;Cordoba;Distribuidor;RES. MAYOR 2800 KWH BIM;Residencial;4850,30
2012;1/3/2012;Cordoba;Distribuidor;RES. MENOR O IGUAL 1000 KWH BIM;Residencial;244444,60
2012;1/3/2012;Cordoba;Distribuidor;SANCIONADO DEM.MAYOR O IGUAL 10 Y MENOR300 KW;Industrial/Comercial Grande;136586,50
2012;1/3/2012;Gran Usuario MEM;Gran Usuario;GUMES/GUPAS;Industrial/Comercial Grande;33900,50
2012;1/4/2012;Cordoba;Distribuidor;Alumbrado Publico;Residencial;29265,40
2012;1/4/2012;Cordoba;Distribuidor;GRANDES USUARIOS C DEM MAYOR O IGUAL 300KW;Industrial/Comercial Grande;107215,30
2012;1/4/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MAYOR O IGUAL 4000 KWH/BIM;Comercial;26995,20
2012;1/4/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MENOR 4000 KWH BIM;Comercial;71114,70
2012;1/4/2012;Cordoba;Distribuidor;RES. MAYOR 1000 Y MENOR O IGUAL 1400 KWH BIM;Residencial;12806,40
2012;1/4/2012;Cordoba;Distribuidor;RES. MAYOR 1400 Y MENOR O IGUAL 2800 KWH BIM;Residencial;10347,10
2012;1/4/2012;Cordoba;Distribuidor;RES. MAYOR 2800 KWH BIM;Residencial;4714,30
2012;1/4/2012;Cordoba;Distribuidor;RES. MENOR O IGUAL 1000 KWH BIM;Residencial;215205,50
2012;1/4/2012;Cordoba;Distribuidor;SANCIONADO DEM.MAYOR O IGUAL 10 Y MENOR300 KW;Industrial/Comercial Grande;126512,20
2012;1/4/2012;Gran Usuario MEM;Gran Usuario;GUMES/GUPAS;Industrial/Comercial Grande;27879,90
2012;1/5/2012;Cordoba;Distribuidor;Alumbrado Publico;Residencial;31776,00
2012;1/5/2012;Cordoba;Distribuidor;GRANDES USUARIOS C DEM MAYOR O IGUAL 300KW;Industrial/Comercial Grande;106913,40
2012;1/5/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MAYOR O IGUAL 4000 KWH/BIM;Comercial;22517,80
2012;1/5/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MENOR 4000 KWH BIM;Comercial;67158,40
2012;1/5/2012;Cordoba;Distribuidor;RES. MAYOR 1000 Y MENOR O IGUAL 1400 KWH BIM;Residencial;12155,60
2012;1/5/2012;Cordoba;Distribuidor;RES. MAYOR 1400 Y MENOR O IGUAL 2800 KWH BIM;Residencial;8938,10
2012;1/5/2012;Cordoba;Distribuidor;RES. MAYOR 2800 KWH BIM;Residencial;2756,20
2012;1/5/2012;Cordoba;Distribuidor;RES. MENOR O IGUAL 1000 KWH BIM;Residencial;254529,70
2012;1/5/2012;Cordoba;Distribuidor;SANCIONADO DEM.MAYOR O IGUAL 10 Y MENOR300 KW;Industrial/Comercial Grande;125514,80
2012;1/5/2012;Gran Usuario MEM;Gran Usuario;GUMES/GUPAS;Industrial/Comercial Grande;35708,00
2012;1/6/2012;Cordoba;Distribuidor;Alumbrado Publico;Residencial;33793,50
2012;1/6/2012;Cordoba;Distribuidor;GRANDES USUARIOS C DEM MAYOR O IGUAL 300KW;Industrial/Comercial Grande;105753,10
2012;1/6/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MAYOR O IGUAL 4000 KWH/BIM;Comercial;23506,30
2012;1/6/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MENOR 4000 KWH BIM;Comercial;71299,70
2012;1/6/2012;Cordoba;Distribuidor;RES. MAYOR 1000 Y MENOR O IGUAL 1400 KWH BIM;Residencial;16140,90
2012;1/6/2012;Cordoba;Distribuidor;RES. MAYOR 1400 Y MENOR O IGUAL 2800 KWH BIM;Residencial;12979,30
2012;1/6/2012;Cordoba;Distribuidor;RES. MAYOR 2800 KWH BIM;Residencial;5232,80
2012;1/6/2012;Cordoba;Distribuidor;RES. MENOR O IGUAL 1000 KWH BIM;Residencial;278234,30
2012;1/6/2012;Cordoba;Distribuidor;SANCIONADO DEM.MAYOR O IGUAL 10 Y MENOR300 KW;Industrial/Comercial Grande;130082,30
2012;1/6/2012;Gran Usuario MEM;Gran Usuario;GUMES/GUPAS;Industrial/Comercial Grande;34027,90
2012;1/7/2012;Cordoba;Distribuidor;Alumbrado Publico;Residencial;34273,50
2012;1/7/2012;Cordoba;Distribuidor;GRANDES USUARIOS C DEM MAYOR O IGUAL 300KW;Industrial/Comercial Grande;107461,90
2012;1/7/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MAYOR O IGUAL 4000 KWH/BIM;Comercial;23215,90
2012;1/7/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MENOR 4000 KWH BIM;Comercial;71086,40
2012;1/7/2012;Cordoba;Distribuidor;RES. MAYOR 1000 Y MENOR O IGUAL 1400 KWH BIM;Residencial;23181,00
2012;1/7/2012;Cordoba;Distribuidor;RES. MAYOR 1400 Y MENOR O IGUAL 2800 KWH BIM;Residencial;20728,90
2012;1/7/2012;Cordoba;Distribuidor;RES. MAYOR 2800 KWH BIM;Residencial;5992,50
2012;1/7/2012;Cordoba;Distribuidor;RES. MENOR O IGUAL 1000 KWH BIM;Residencial;320089,10
2012;1/7/2012;Cordoba;Distribuidor;SANCIONADO DEM.MAYOR O IGUAL 10 Y MENOR300 KW;Industrial/Comercial Grande;132389,50
2012;1/7/2012;Gran Usuario MEM;Gran Usuario;GUMES/GUPAS;Industrial/Comercial Grande;36213,40
2012;1/8/2012;Cordoba;Distribuidor;Alumbrado Publico;Residencial;33440,80
2012;1/8/2012;Cordoba;Distribuidor;GRANDES USUARIOS C DEM MAYOR O IGUAL 300KW;Industrial/Comercial Grande;112082,30
2012;1/8/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MAYOR O IGUAL 4000 KWH/BIM;Comercial;23427,90
2012;1/8/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MENOR 4000 KWH BIM;Comercial;71661,00
2012;1/8/2012;Cordoba;Distribuidor;RES. MAYOR 1000 Y MENOR O IGUAL 1400 KWH BIM;Residencial;23339,20
2012;1/8/2012;Cordoba;Distribuidor;RES. MAYOR 1400 Y MENOR O IGUAL 2800 KWH BIM;Residencial;21177,70
2012;1/8/2012;Cordoba;Distribuidor;RES. MAYOR 2800 KWH BIM;Residencial;7117,30
2012;1/8/2012;Cordoba;Distribuidor;RES. MENOR O IGUAL 1000 KWH BIM;Residencial;251659,50
2012;1/8/2012;Cordoba;Distribuidor;SANCIONADO DEM.MAYOR O IGUAL 10 Y MENOR300 KW;Industrial/Comercial Grande;134785,60
2012;1/8/2012;Gran Usuario MEM;Gran Usuario;GUMES/GUPAS;Industrial/Comercial Grande;35800,30
2012;1/9/2012;Cordoba;Distribuidor;Alumbrado Publico;Residencial;31689,00
2012;1/9/2012;Cordoba;Distribuidor;GRANDES USUARIOS C DEM MAYOR O IGUAL 300KW;Industrial/Comercial Grande;107450,40
2012;1/9/2012;Cordoba;Distribuidor;MENOR 10KW NO RES. MAYOR O IGUAL 4000 KWH/BIM;Comercial;20893,30
